Player_initial_last,tournament id,player id,hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,made_cut,pos,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,player,Unnamed: 2,Unnamed: 3,Unnamed: 4,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
A. Ancer,401243402,9261,280,274,63,60.4,70,3,11,4,4,1,9,8,7,5,74,78.4,79,Abraham Ancer,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T9,0.16,-0.33,0.59,-0.11,0.15,0.31
B. DeChambeau,401243402,10046,280,274,70.5,65.9,65,3,18.4,3,4,1,7,10,10,7,83.5,94.3,75,Bryson DeChambeau,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,7,-0.18,-0.36,-0.18,1.03,0.49,0.31
B. Horschel,401243402,1651,280,270,72,69.2,76,9,22,11,4,1,9,8,7,5,89,98.2,92,Billy Horschel,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T9,0.45,-0.07,0.3,0.64,0.86,1.31
B. Koepka,401243402,6798,140,138,34.5,31.1,33,0,0.2,0,2,0,NA,0,0,0,34.5,31.3,33,Brooks Koepka,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,WD,0.21,-0.21,-0.85,0.59,-0.47,-0.26
C. Conners,401243402,9126,280,278,62.5,56.1,61,0,7.2,0,4,1,22,4,3,1,66.5,66.3,62,Corey Conners,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T22,-0.21,-1.49,0.37,0.64,-0.48,-0.69
C. Morikawa,401243402,10592,280,283,55.5,45.4,55,0,7.2,0,4,1,26,3,2,0,58.5,54.6,55,Collin Morikawa,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T26,-1.12,-0.22,-0.22,-0.38,-0.82,-1.94
C. Smith,401243402,9131,280,278,63,55.6,62,0,1.4,0,4,1,14,6,5,3,69,62,65,Cameron Smith,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T14,-0.1,0,-0.29,-0.3,-0.59,-0.69
D. Berger,401243402,9025,280,272,72.5,68.9,69,3,12.8,3,4,1,11,6,5,3,81.5,86.7,75,Daniel Berger,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T11,-0.49,0.35,0.7,0.26,1.3,0.81
D. Johnson,401243402,3448,280,272,74,68.6,72,5,12.4,0,4,1,8,9,8,6,88,89,78,Dustin Johnson,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,8,2.37,-0.32,-0.64,-0.6,-1.56,0.81
E. van Rooyen,401243402,9364,280,277,67.5,58.8,63,3,13.2,3,4,1,22,4,3,1,74.5,75,67,Erik van Rooyen,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T22,0.64,-0.33,-0.02,-0.73,-1.08,-0.44
H. English,401243402,5408,280,278,63.5,56.3,63,11,8.4,6,4,1,18,5,4,2,79.5,68.7,71,Harris English,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T18,0.09,0.04,-0.05,-0.76,-0.78,-0.69
H. Matsuyama,401243402,5860,280,281,61.5,52.1,58,6,8,6,4,1,26,3,2,0,70.5,62.1,64,Hideki Matsuyama,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T26,-0.76,0.84,-1.09,-0.43,-0.68,-1.44
J. Kokrak,401243402,3317,280,274,65,61,70,0,5.6,0,4,1,11,6,5,3,71,71.6,73,Jason Kokrak,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T11,-0.28,-0.12,0.47,0.24,0.59,0.31
J. Niemann,401243402,11099,280,285,44,36.3,56,0,1.6,0,4,1,29,3,2,0,47,39.9,56,Joaquin Niemann,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,29,-1.38,-0.23,-0.88,0.05,-1.06,-2.44
J. Rahm,401243402,9780,280,266,77,76.8,82,11,18,7,4,1,2,20,20,13,108,114.8,102,Jon Rahm,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,2,0.75,1.2,-0.38,0.75,1.56,2.31
J. Spieth,401243402,5467,280,280,62.5,53.7,57,3,12.8,3,4,1,20,5,4,2,70.5,70.5,62,Jordan Spieth,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T20,-0.11,0.11,-1.51,0.32,-1.08,-1.19
J. Thomas,401243402,4848,280,269,81,76.9,74,3,17.2,3,4,1,4,16,16,10,100,110.1,87,Justin Thomas,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,4,0.63,0.09,0.86,-0.01,0.93,1.56
K. Na,401243402,318,280,266,72.5,73.5,85,17,21.8,15,4,1,3,18,18,11,107.5,113.3,111,Kevin Na,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,3,0.73,0.59,1.5,-0.51,1.58,2.31
L. Oosthuizen,401243402,1293,280,276,65.5,60.7,63,0,7.6,0,4,1,14,6,5,3,71.5,73.3,66,Louis Oosthuizen,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,T14,-0.06,0.43,0.17,-0.72,-0.13,-0.19
P. Cantlay,401243402,6007,280,269,74,72.3,76,8,12.4,4,4,1,1,30,30,15,112,114.7,95,Patrick Cantlay,NA,NA,NA,Tour Championship,"East Lake Golf Club - Atlanta, GA",2021-09-05,9,2021,1,1,-0.18,0.01,0.79,0.77,1.64,1.46
