Player_initial_last,tournament id,player id,hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,made_cut,pos,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,player,Unnamed: 2,Unnamed: 3,Unnamed: 4,tournament name,course,date,purse,season,no_cut,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
A. Ancer,3747,9261,140,143,22.5,19,25,0,0.8,0,2,0,NA,0,0,0,22.5,19.8,25,Abraham Ancer,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,-1.55,0.56,-1.13,-0.16,-0.74,-2.28
A. Baddeley,3747,16,140,142,23.5,20.5,27,0,0.8,0,2,0,NA,0,0,0,23.5,21.3,27,Aaron Baddeley,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,-1.5,0.54,-1,0.18,-0.28,-1.78
A. Cook,3747,9517,280,269,75.5,73.4,75,12,24.4,14,4,1,18,5,4,2,92.5,101.8,91,Austin Cook,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T18,0.44,0.21,0.36,0.49,1.06,1.5
A. Landry,3747,4682,140,143,30,23.1,24,0,1.4,0,2,0,NA,0,0,0,30,24.5,24,Andrew Landry,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,-0.82,-1.39,-0.19,0.11,-1.47,-2.28
A. Putnam,3747,5502,280,279,63.5,56.4,59,3,8.4,3,4,1,69,0,0,0,66.5,64.8,62,Andrew Putnam,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T69,-0.59,-0.42,0.78,-0.77,-0.41,-1
A. Schenk,3747,10372,280,272,71,67.8,70,3,18,4,4,1,39,2,1,0,76,86.8,74,Adam Schenk,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T39,0.68,-0.22,0.1,0.19,0.07,0.75
A. Wise,3747,10577,140,142,26.5,22.7,25,0,5.8,0,2,0,NA,0,0,0,26.5,28.5,25,Aaron Wise,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,0.09,-1.74,-1.62,1.48,-1.87,-1.78
B. Barber,3747,6062,280,278,68.5,59.1,61,6,8.6,6,4,1,67,0,0,0,74.5,67.7,67,Blayne Barber,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T67,0.13,-0.94,0.49,-0.43,-0.87,-0.75
B. Burgoon,3747,1626,140,144,25,19.2,22,3,6.6,3,2,0,NA,0,0,0,28,25.8,25,Bronson Burgoon,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,0.42,-0.48,-1.97,-0.75,-3.2,-2.78
B. Garnett,3747,2283,140,143,21,17.9,26,0,0.4,0,2,0,NA,0,0,0,21,18.3,26,Brice Garnett,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,-0.99,-0.31,-1.45,0.47,-1.29,-2.28
B. Gay,3747,159,280,275,70.5,64.5,68,3,12.8,3,4,1,58,0,0,0,73.5,77.3,71,Brian Gay,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T58,-0.51,0.28,0.1,0.13,0.51,0
B. Haas,3747,774,140,141,24.5,22,29,0,0.8,0,2,0,NA,0,0,0,24.5,22.8,29,Bill Haas,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,-1.93,0.63,0.64,-0.61,0.65,-1.28
B. Harkins,3747,7161,280,270,76.5,72.3,77,5,11.6,0,4,1,25,4,3,1,85.5,86.9,78,Brandon Harkins,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T25,1.68,-0.23,0,-0.2,-0.43,1.25
B. Harman,3747,1225,280,265,91,85.9,82,6,14,6,4,1,4,16,16,10,113,115.9,98,Brian Harman,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T4,1.43,-0.13,0.34,0.86,1.08,2.5
B. Hossler,3747,6011,140,142,24.5,19.5,29,0,0.8,0,2,0,NA,0,0,0,24.5,20.3,29,Beau Hossler,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,-0.2,-1.58,-0.02,0.02,-1.58,-1.78
B. Hurley,3747,1612,140,140,27,24.6,30,0,0.2,0,2,0,NA,0,0,0,27,24.8,30,Billy Hurley,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,NA,NA,NA,NA,NA,NA,NA
B. Martin,3747,4638,280,266,85.5,82.5,79,11,19.4,6,4,1,7,10,10,7,106.5,111.9,92,Ben Martin,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T7,0.87,0.29,1.47,-0.37,1.38,2.25
B. Silverman,3747,8910,140,140,29,25.2,30,3,6.4,3,2,0,NA,0,0,0,32,31.6,33,Benjamin Silverman,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,-0.36,0.54,-0.91,-0.05,-0.42,-0.78
B. Stegmaier,3747,1673,140,139,34.5,30,29,0,7.2,0,2,0,NA,0,0,0,34.5,37.2,29,Brett Stegmaier,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,1.62,-0.88,1.47,-2.49,-1.91,-0.28
B. Stuard,3747,3599,280,265,84.5,82.2,81,11,24,7,4,1,4,16,16,10,111.5,122.2,98,Brian Stuard,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T4,1.85,-0.39,0.43,0.61,0.65,2.5
C. Campbell,3747,68,140,144,28.5,20.7,25,0,0.2,0,2,0,NA,0,0,0,28.5,20.9,25,Chad Campbell,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,-1.72,-0.77,-0.79,0.5,-1.06,-2.78
C. Conners,3747,9126,280,272,73.5,69.1,71,3,12.6,3,4,1,39,2,1,0,78.5,82.7,74,Corey Conners,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T39,1.46,-0.13,-0.94,0.36,-0.7,0.75
C. Gribble,3747,8971,140,144,26.5,20.3,21,0,6,0,2,0,NA,0,0,0,26.5,26.3,21,Cody Gribble,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,CUT,0.29,-0.86,-2.38,0.16,-3.08,-2.78
C. Howell III,3747,208,280,271,69,67.1,74,8,2.6,3,4,1,32,2,1,0,79,70.7,77,Charles Howell III,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T32,-0.5,0.66,0.42,0.43,1.5,1
C. Kirk,3747,3449,280,267,81.5,78.8,79,3,17.8,4,4,1,10,7,6,4,91.5,102.6,87,Chris Kirk,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T10,0.09,1.56,0.55,-0.2,1.92,2
C. Knost,3747,1793,280,279,57,51.3,62,0,1,0,4,1,69,0,0,0,57,52.3,62,Colt Knost,NA,NA,NA,Sony Open in Hawaii,"Waialae CC - Honolulu, HI",2018-11-14,6.2,2018,0,T69,-0.79,-0.82,0.25,0.37,-0.2,-1
